alpha,T,seed,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta
0.5,900,1,0.2991232573986053,0.7870951294898987,0.2991232573986053,0.8899710178375244,-0.7001204192638397
0.5,900,3,0.3401702046394348,0.8630403280258179,0.3401702046394348,0.9158779382705688,-0.6393263041973114
0.5,900,2,0.3365905582904815,0.8394476175308228,0.3365905582904815,0.9383735060691832,-0.6498448550701141
0.5,900,5,0.3282711505889892,0.7871237993240356,0.3282711505889892,0.9457950592041016,-0.669354647397995
0.5,900,4,0.3637451976537704,0.7837343811988831,0.3637451976537704,0.914946347475052,-0.6328811198472977
0.5,900,0,0.3984556496143341,0.7478176355361938,0.3984556496143341,0.9130244553089142,-0.594903439283371
0.5,900,6,0.3400838077068329,0.7615572214126587,0.3400838077068329,0.9676347374916076,-0.6568304300308228
0.5,900,7,0.3266348242759704,0.7628655135631561,0.3266348242759704,0.9151715040206908,-0.6515636444091797
